Title,Director,Cast,Genre,Producer,Vote,Vote Counts,Year,Overview
Savarikkadu,M. N. Krishnakumar,"Rajapandi, Renuka, Swathi Shanmugam, Soori",Thriller drama,Annai Teresa Films,7.5,367,2017,"A barber has a fight with a gangster on the road, and the encounter forces him to run all over the city to save himself."
Vikram Vedha,Pushkar-Gayathri,"R. Madhavan, Vijay Sethupathi, Varalaxmi Sarathkumar, Shraddha Srinath, Kathir",Crime thriller,Y NOT Studios,8.9,135,2017,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict."
Yentha Nerathilum,R. Muthukumar,"Ramakrishnan, Yashmith, Sandra Amy, Leema Babu",Horror thriller,Anjali Entertainment,6.2,25,2017,Saalai Sahdevan’s camera work captures the cool and green Ooty and pleases the eyes. Music is just about adequate.
Ilavatta Pasanga,J. Balashrinivasan,"Arun Kumar, Akshaya Priya, Powerstar Srinivasan, Nizhalgal Ravi",Romance,K.K.P Vela Films,6.8,156,2017,"Ilavatta Pasanga is an upcoming Tamil movie scheduled to be released on 28 Jul, 2018. The movie is directed by K. Balaseenivasan and will feature Nizhalgal Ravi and Powerstar Seenivasan as lead characters."
Kootathil Oruthan,T. J. Gnanavel,"Ashok Selvan, Priya Anand, Samuthirakani",Drama,Dream Warrior Pictures,6.9,123,2017,"Aravind, a regular average student, falls in love with Janani, the class topper. When she rejects his proposal, Aravind sets out to change his life and win Janani's love."
Namma Kadha,Nova,"Kavithran, Bavisha, Crane Manohar",Drama,ISSKK Productions,7.8,157,2017,"Namma Kadha is a Tamil movie starring Bavisha and Kavithran in prominent roles. The cast also includes Crane Manohar, Nellai Siva, Pandu, SS Vijayan, Vadivukkarasi and Vietnam Veedu Sundaram. It is a comedy drama directed by Nova with JK Selvah as the music composer and PK Vinayagam as the editor, forming part of the crew."
Nibunan,Arun Vaidyanathan,"Arjun, Prasanna, Vaibhav, Varalaxmi Sarathkumar, Sruthi Hariharan",Crime thriller,Passion Film Factory,6.8,367,2017,"With numbers written on a doll as their only clue, three officers of the law track down a psychotic killer, unearthing dark secrets along the way."
Puyala Kelambi Varom,Arumugam,"Thaman Kumar, Madhu Shri, R. N. R. Manohar, Singampuli",Romantic drama,Jayashree Movie Makers,5.9,135,2017,Thaman has emoted well in the romance scenes and the action sequence. Manohar had over acted as the villain.
Yen Intha Mayakkam,Shakthi Vasantha Prabhu,"Della Raj, Rajiv Kumar, Swarna",Romantic drama,Rainbow Creations,2.5,6,2017,No reviews
Aakkam,Veludoss Gnanasamantham,"Sathish Ravan, Delna Davis, Powerstar Srinivasan",Masala,Aadhi Lakshmi Entertainers,6.2,123,2017,"The criticism that almost all North Chennai based Tamil films depict the locality as the breeding ground of crime and criminals, holds good to this film too."
Sathura Adi 3500,Jaison,"Nikhil Mohan, Iniya, Rahman, Swathi Deekshith",Horror,Right Views Cinema,7.5,157,2017,A cop is asked to investigate a suspicious death. What complicates the matter is the appearance of the ‘ghost’ of the victim in the various places he visits!
Ullam Ullavarai,Vishnuhasan,"Shankar, Meenu Karthika, Ganja Karuppu",Horror,Indhuja Films,5.5,367,2017,"Ullam Ullavarai is a Tamil movie released on 04 August, 2017. The movie is directed by Vishnu Hasan and featured Ganja Karuppu, Meera Krishnan and Vishnu Hasan as lead characters."
Podhuvaga En Manasu Thangam,Thalapathy Prabhu,"Udhayanidhi Stalin, Nivetha Pethuraj, Parthiepan, Soori",Comedy,Thenandal Studio Limited,5.5,135,2017,"A well-intentioned young man's dream to do deeds for the upliftment of his village is interrupted by an influential man, who does not want anyone to grow above him."
Taramani,Ram,"Vasanth Ravi, Andrea Jeremiah, Anjali",Romantic drama,Catamaran Productions,7.6,25,2017,"An orthodox man and a free-spirited lady fall in love, only to realize just how different they are."
Velaiilla Pattadhari 2,Soundarya Rajinikanth,"Dhanush, Kajol, Amala Paul",Masala,V Creations,4.9,5.3,2017,"Raghuvaran is an engineer whose life changes when his wife Shalini begins to control his decisions. To add to his troubles, Vasundhara, an egoistic entrepreneur sets out to ruin his career."
Thappattam,Mujibur Rahman,"Durai Sudhakar, Dona Rozario",Romantic drama,Moon Pictures,8.3,123,2017,"Thappattam is a Tamil movie released on 24 August, 2017. The movie is directed by S. Mujibur Rahman and featured Dona Rozario as lead characters."
Vivegam,Siva,"Ajith Kumar, Kajal Aggarwal, Vivek Oberoi, Akshara Haasan",Action,Sathya Jyothi Films,6.1,157,2017,"AK is a former counter-terrorism agent who is called for a special mission. However, he is betrayed by his friends and sets out to exact revenge."
Adra Raja Adida,Rajiya Kirushna,"Rajiya Kirushna, Shree Hema, Shanmugavelu",Comedy,7 Force Cinemas,6.1,367,2017,"Adraa Raja Adida is a Tamil movie released on 25 August, 2017. The movie is directed by Rajiya Kirushna and featured Rajiya Kirushna as lead characters."
Pannam Pathinonnum Seyum,Jaya Krishna,"Bharani, Alisha Khan, Yog Japee",Action,AJ Film,6.1,569,2017,"The movie is directed by Jaya Krishnan and featured Bharani, Yog Japee and Alisa Khan as lead characters. Other popular actors who were roped in for Pannam Pathinonnum Seyum are Karate Raja."
Kurangu Bommai,Nithilan Swaminathan,"Bharathiraja, Vidharth, Delna Davis",Thriller drama,Shreya Sri Movies LLP,8.1,762,2017,A loyal employee agrees to help his boss by smuggling an expensive artifact out of the country.
Oru Kanavu Pola,V. C. Vijayasankar,"Ramakrishnan, Amala Rose Kurian, Soundararaja",Romance,Iraivan Cine Creations,8.1,671,2017,"The film is a story of two childhood friends who live their lives to the fullest. The story focuses on the friendship, love lives and careers of both the friends and how one of them sacrifices his life at the cost of his career."
Puriyaadha Pudhir,Ranjit Jeyakodi,"Vijay Sethupathi, Gayathrie",Psychological thriller,Rebel Studio,6.6,503,2017,A man's tentative romance with a music teacher hits a sour note when he begins receiving compromising videos of her from an anonymous sender.
Aaram Vetrumai,Hari Krishna,"Ajay, Gopika, Yogi Babu",Period,7th Sense Movie Makers,5.4,135,2017,"Aaram Vettrumai is a Tamil movie starring Gopika and Yogi Babu in prominent roles. It is a thriller drama by Hari Krishna with Ganesh Raghavendra as the musician, forming part of the crew."
Gilli Bambaram Goli,D. Manoharan,"Prasath, Naresh, Tamil, Deepthi Shetty, Ganja Karuppu",Thriller,Visco Corner Entertainers,6.2,25,2017,"Gilli Bambaram Goli is a Tamil movie released on 08 September, 2017. The movie is directed by Manoharan. D and featured Ganja Karuppu and Thalaivasal Vijay as lead characters."
Kadhal Kasakuthaiya,Dwarakh Raja,"Dhruvva, Venba, Charle",Romance,Etcetera Entertainment,4.3,156,2017,Dwarakh Raja's Kadhal Kasakuthaiya (Love Is Bitter) opens with a statement: “Tall guys and short girls make the cutest couples.” Whose words of wisdom are these? The answer arrives in an instant: “stolen from Facebook.”
Kathanayagan,Tha. Muruganantham,"Vishnu, Catherine Tresa, Soori",Comedy,Vishnu Vishal Studioz,4.3,123,2017,"Thambidurai, a revenue inspector, falls in trouble because of his cowardliness. Problems arise, when his lover Kanmani's father does not allow her to marry him."
Maaya Mohini,Raasavikram,"Abdullah, Sarika, Imman Annachi, K. R. Vijaya",Horror,Kannan Creations,3.5,24,2017,"Balakrishnan is cheated by his girlfriend. In order to make his family happy, he hires a girl, Mayamohini, and pretends to be in love. "
Neruppu Da,Ashok Kumar,"Vikram Prabhu, Nikki Galrani, Varun",Action thriller,First Artist Chandra Arts,4.8,367,2017,"Guru and his friends’ ambition is to become firemen, but a run in with a gangster threatens to bring their dream crashing down."
Thappu Thanda,Srikantan,"Sathya Murthi, Shweta Gai, John Vijay, Mime Gopi",Action,Clapboard Production,6.1,135,2017,Thappu Thanda is a 2017 Tamil comedy thriller film written and directed by debutant Srikantan and produced by SathyaMurthi for Clapboard Production.
Thupparivaalan,Mysskin,"Vishal, Prasanna, Vinay, Andrea Jeremiah, Anu Emmanuel, Simran",Crime thriller,Vishal Film Factory,7.6,25,2017,"Naveen, a young boy, approaches Detective Kaniyan Poongundran to help him find the person who shot his dog. During the investigation, Kaniyan finds clues that link to other cases."
Magalir Mattum,Bramma,"Jyothika, Saranya, Urvashi, Bhanupriya",Drama,2D Entertainment,5.2,123,2017,Bramma’s Magalir Mattum gives its women the opportunity to shine on screen and rarely do we come across filmmakers with such conviction.
Yaar Ivan,Tatineni Satya,"Sachiin Joshi, Esha Gupta, Prabhu, Kishore",Action,Viiking Media and Entertainment,6,157,2017,"Veedevadu in Telugu, Yaar Ivan in Tamil is a 2017 Indian bilingual action drama thriller film written and directed by Tatineni Satya."
Aayirathil Iruvar,Saran,"Vinay, Samuthrika, Swasthika, Kesha Khambhati",Thriller,Saran Movie Factory,5.5,367,2017,"Vinay plays a dual role for the first time and the script is in such a way that the characters don’t meet. While one of the character fall in love with Samuthrika, another falls in love with Swathika."
Bayama Irukku,Jawahar,"Santhosh Prathap, Reshmi Menon, Kovai Sarala",Horror,Vasantham Productions,5.5,358,2017,A group of friends believes that their friend's wife is a ghost and decide to bring in an exorcist to help him
Ka Ka Ka,M. Manon,"Ashok, Kiran Pathikonda, Megashree, Yogi Babu",Horror,Arpita Creations,7.3,127,2017,The life of a young and charming girl who possesses ‘special powers’ turns topsy-turvy after she encounters an unexpected incident.
Kalavu Thozhirchalai,T. Krishna Shamy,"Kathir, Kushi, Vamsi Krishna, Kalanjiyam",Drama,MGK Movie Makers,5.7,21,2017,A man comes to India to steal a valuable antique and quickly realizes he needs help.
Konjam Konjam,Udayasankaran,"Gokul, Neenu, Appukutty, Mansoor Ali Khan",Comedy,Mimosa Productions,6.2,135,2017,"he film “Konjam Konjam” is a sentimental mixed of emotional content, the three people who played a vital role, Priya Mohan, Gokul Krishnan and Mersheena Neenu were giving an owing performances"
Pichuva Kaththi,Ayappan,"Inigo Prabhakaran, Anisha Xavier, Sri Priyanka",Drama,Sri Annamalaiyar Movies,6.3,25,2017,Pichuva Kaththi is a 2017 Indian Tamil action drama film written and directed by Ayappan.
Theru Naaigal,Hari Uthra,"Pratheek, Akshatha Sreedhar, Appukutty, Mime Gopi",Action,Shree Bhuwal Movie Productions,5.3,156,2017,"At its heart, Theru Naaigal is a very straightforward story."
Valla Desam,N. T. Nantha,"Anu Hasan, Nassar, Bala Singh, Jayapalan",Action,Lakxshanna Pictures,8.8,123,2017,"Valla Desam is a 2017 Indian Tamil action film written and directed by N. T. Nantha. The film features Anu Hasan in the leading role, with Nassar, Amit, David Yuvarajan and Akarshana portraying supporting characters."
Spyder,AR Murugadoss,"Mahesh Babu, Rakul Preet Singh, S. J. Surya, Bharath",Action thriller,NVR Cinema,7.1,157,2017,"Shiva, an intelligence officer, develops a phone software that helps him track those in need of help. He sets out to save the people of Hyderabad when he realises that a serial killer is on the loo"
Hara Hara Mahadevaki,Santhosh P. Jayakumar,"Gautham Karthik, Nikki Galrani, Sathish, R. K. Suresh",Adult comedy,Studio Green & Thangam Cinemas,5.4,79,2017,It can be enjoyed if you opt for some fun with a bunch of young friends.
Karuppan,R. Panneerselvam,"Vijay Sethupathi, Bobby Simha, Tanya Ravichandran",Action masala,Shree Sai Raam Creations,5.5,338,2017,"A man wins the hand of a girl after winning in jallikattu, but her relative, who had hopes of marrying her, tries to cause a permanent rift between the couple."
Neri,Bhagavathi Bala,"Mohan Kumar, Shriya Sri, K Raj Baskar, Bayilvan Ranganathan",Drama,Amoga Film Makers,6.2,431,2017,"Neri is a Tamil movie starring Mohan Kumar and Sriya Sree in prominent roles. It is an action drama directed by Bagavathy Bala with Raj Baskar as the musician, forming part of the crew."
Solo,Bejoy Nambiar,"Dulquer Salmaan, Sai Dhanshika, Neha Sharma, Sruthi Hariharan, Arthi Venkatesh",Anthology,Getaway Films & Refex Entertainment,7.1,512,2017,"Shekhar, Trilok, Siva and Rudra, who represent the varied elements of nature which are earth, water, fire and wind, deal with love, loss and rage."
Chennaiyil Oru Naal 2,JPR,"Sarathkumar, Napoleon, Ajay",Crime thriller,Kalpatru Pictures,4.9,59,2017,"Despite being a short film, it feels stretched, underwritten and sometimes meandering all over the place."
Mersal,Atlee,"Vijay, Samantha, Kajal Aggarwal, Nithya Menen, S. J. Surya",Action Thriller,Sri Thenandal Films,8.3,1352,2017,"Maaran, a doctor, is invited to Paris for a seminar to honour him for his contribution in the field of medicine. He is arrested by the police when his lookalike murders Dr Zachariah."
Meyaadha Maan,Rathna Kumar,"Vaibhav, Priya Bhavani Shankar, Vivek Prasanna",Romantic comedy,Stone Bench Creations,7.1,25,2017,"Meyaadha Maan characters speak a language of raw, imperfect honesty that is endearing."
Kadaisi Bench Karthi,Ravi Bhargavan,"Bharath, Ruhani Sharma, Angana Roy",Comedy,Rama Reels,4.2,156,2017,The misuse of a smartphone has devastating effects on several romantic relationships.
Kalathur Gramam,Saran K. Adwaithan,"Kishore, Yagna Shetty, Sulile Kumar",Drama,AR Movie Paradise,7.1,123,2017,"Kalathur Gramam is a 2017 Tamil-language Indian film directed by Saran K Adwaithan, starring Kishore and Yagna Shetty in lead roles with Tarun Shatriya in important roles."
Aval,Milind Rau,"Siddharth, Andrea Jeremiah, Anisha Victor",Horror,Etaki Entertainment & Viacom 18 Motion Pictures,6.9,157,2017,A newly-wed couple's relationship is shaken to its core when a mysterious family moves into the neighbourhood.
Azhagin Bommi,R. K. Vijayakumar,"Vijay Kailash, Sunvika, Singamuthu",Drama,Unimac Creations,6.2,367,2017,"Azhagin Bommi is a Tamil movie released on 3 Nov, 2017. The movie is directed by R. K. Vijayakumar and featured Singamuthu, Vijay Kailash and Sunvika as lead characters.."
Thittivasal,M. Prathapmuraali,"Mahendran, Tanu Shetty, Chinni Vinod, Nassar",Drama,K3 Cine Creations,7,135,2017,Thittivasal begins with a self-immolation attempt by a young woman.
UruthiKol,R. Ayyanar,"Kishore, Megana, Kaali Venkat",Action,Jai Sneham Films,6.2,25,2017,A school dropout tries to track down the men who might have kidnapped his sister.
Vizhithiru,Meera Kathiravan,"Kreshna, Vidharth, Venkat Prabhu, Sai Dhanshika, Abhinaya, Erica Fernandes",Crime thriller,Mainstream Cinema Productions,6.3,156,2017,"The Vidharth-Sai Dhansikaa film tries to document what happens during one fateful night, connecting several otherwise unrelated characters."
Ippadai Vellum,Gaurav Narayanan,"Udhayanidhi Stalin, Manjima Mohan, R. K. Suresh, Daniel Balaji",Action thriller,Lyca Productions,5.8,123,2017,"Ippadai Vellum is a 2017 Indian Tamil action thriller film written and directed by Gaurav Narayanan, starring Udhayanidhi Stalin and Manjima Mohan in the leading roles, with Daniel Balaji, R. K. Suresh and Soori in supporting roles"
143,Rishi,"Rishi, Priyanka Sharma, Vijayakumar, Mahadevan",Romance,Eye Talkies,5.3,157,2017,A carefree boy elopes with a girl who is the doting sister of four brothers. But they get separated and the girl goes into the hands of naxalites and he meets a journalist.
Aramm,Minjur Gopi,"Nayanthara, Ramachandran Durairaj, Sunu Lakshmi",Social thriller,KJR Studios,8.1,367,2017,"IAS officer Madhivadhani faces a big professional challenge after Dhanshika, a young village girl, falls into a deep borewell and the media highlights her rescue efforts."
Nenjil Thunivirundhal,Suseenthiran,"Sundeep Kishan, Vikranth, Mehreen Pirzada",Action thriller,Annai Film Factories,5.4,135,2017,Kumar gets upset when his best friend Mahesh starts dating his sister. A small misunderstanding between them puts their lives at risk.
Rukku,Babu Radhakrishnan,"Babu Radhakrishnan, Rukku",Horror,Hoyasala Films,3.5,25,2017,"This film follows the age old track of a bratty hero meeting a heroine with a heart of gold, where the latter makes him realize that life is all about caring for others and there is a transformation in the former for the same reason."
Tharisu Nilam,Vedhaji Pandian,"Arun Thiyagu, Joshika Meera, Kovai Senthil",Drama,Sri Ranga Movies,7.1,156,2017,"Tharisu Nilam is a Tamil movie released on 10 Nov, 2017. The movie is directed by T. Rangarajan and featured Shankar Ganesh and Kovai Senthil as lead characters"
En Aaloda Seruppa Kaanom,K. P. Jagan,"Anandhi, Tamizh, Yogi Babu, Singampuli",Comedy,Drumsticks Productions,5.4,123,2017,"A man helps his soul mate find her missing sandals, believing it will somehow bring her father home."
Mecheri Vana Bhadrakali,K. M. Anandhan,"Seetha, Delhi Ganesh, Saravanan, Boomiga",Devotional,Sri Kalaivani Movies & JMP International,5.5,157,2017,"Mecheri Vana Bhathrakali is a Tamil movie released on 17 Nov, 2017. The movie is directed by K. M. Anadhan and featured Delhi Ganesh and Seetha as lead characters."
Soora Kaathu,Saravana Sakthi,"Nandha Kumar, Leema Babu, Saravana Sakthi",Horror,Shri Win Movies,6.2,367,2017,"Soora Katthu is a Tamil movie, starring Leema Babu, Nandhakumar and Saravan Sakthi. It is a drama written and directed by Saravan Sakthi."
Theeran Adhigaram Ondru,H. Vinoth,"Karthi, Rakul Preet Singh, Abhimanyu Singh",Crime thriller,Dream Warrior Pictures,8.4,135,2017,"Theeran Thirumaran, an honest police officer, gets transferred multiple times. His life becomes difficult after he investigates the case of criminals who loot and ruthlessly murder people."
English Padam,Kumaresh Kumar,"Ramki, Sanjeev, Meenakshi, Sreeja Das",Horror Comedy,RJ Media Creations,1.1,25,2017,Sanjeev gets involved in a series of crimes after he goes to Chennai to make some money. He must find a way to get himself out of a dangerous situation.
Guru Uchaththula Irukkaru,B. Dhandapani,"Guru Jeeva, Aara, Pandiarajan, M. S. Bhaskar",Comedy,Best Movies,8.3,156,2017,"A wastrel and his friends learn that a politician has stashed his ill-gotten wealth in a forest and go there. What they don’t realise is that the politician’s underlings and his rivals, too, are after the same"
Idam Porul Aavi,Navaneeth,"Tilak Shekhar, Rohith, Anisha Ambrose",Horror,VPS Brothers Productions,7.8,123,2017,"Idam Porul Aavi is a Tamil movie released on 24 Nov, 2017. The movie is directed by Navaneeth and featured Anisha Ambrose and Tilak Shekhar as lead characters"
Indrajith,Kalaprabhu,"Gautham Karthik, Sonarika Bhadoria, Ashrita Shetty, Sudanshu Pandey",Action adventure,V Creations,7.1,157,2017,"An adventurous youngster sets out in search of a precious stone, somewhere in the forests of north east, accompanied by an archaeological survey team"
Laali,Aarupadaiyappan,"Tej Charanraj, Shivani, Krishna Kumar, Manobala",Horror,Aarupadai Movie Makers,7.5,367,2017,"Laali is a Tamil movie released on 24 Nov, 2017. The movie is directed by Aarupadaiyappan and featured Manobala and Tej Charanraj as lead characters"
Veeraiyan,S. Fareed,"Inigo Prabhakaran, Shiny, Vela Ramamoorthy, Aadukalam Naren",Action,Fara Sara Films,5.5,431,2017,"A teenage student, who fails to live up to the expectations of his doting father, seeks the help of a few anti-social people to continue his education."
Yaazh,M. S. Anand,"Vinoth Kishan, Sashikumar Subramani, Daniel Balaji, Misha Ghoshal, Leema Babu",Drama,Mystic Films,6.2,320,2017,"Yazh is a Tamil movie released on 24 Nov, 2017. The movie is directed by M. S. Anand and featured Daniel Balaji, Misha Ghoshal, Leema Babu and Neelima Azim as lead characters. Other popular actors who were roped in for Yazh are Neelima Azim and Vinoth Kishan."
Annadurai,G. Srinivasan,"Vijay Antony, Diana Champika, Mahima, Jewel Mary",Action drama,R Studios & Vijay Antony Film Corporation,5.2,267,2017,"Annadurai and Thambidurai, two close brothers, living in a small town, develop completely different personalities."
Thiruttu Payale 2,Susi Ganeshan,"Bobby Simha, Prasanna, Amala Paul, Sanam Shetty",Thriller drama,AGS Entertainment,6.8,417,2017,A police inspector attempts to track down a man who uses Facebook to prey on innocent women.
Kodi Veeran,M. Muthiah,"Sasikumar, Vidharth, Mahima Nambiar, Poorna, Sanusha",Action drama,Company Productions,5.4,135,2017,"Kodiveeran is an Indian Tamil-language action drama film written and directed by M. Muthaiah. M. Sasikumar, Mahima Nambiar are playing as the lead pair in this movie."
12-12-1950,Selva,"Selva, Thambi Ramaiah, John Vijay, Ramesh Thilak",Comedy,Jyo Star Enterprises,6.3,25,2017,"12-12-1950 is a Tamil movie released on 8 Dec, 2017. The movie is directed by Kabali Selva and featured Kabali Selva, Thambi Ramaiah and Yogi Babu as lead characters"
Richie,Gautham Ramachandran,"Nivin Pauly, Natarajan Subramaniam, Shraddha Srinath",Crime thriller,Cast N' Crew & Yes Cinema Company,5.6,156,2017,"An event, narrated in flashback, is the sole reason that Richie (Nivin Pauly) ... Richiekeeps coming across as a film that tried too hard but failed."
Sathya,Pradeep Krishnamoorthy,"Sibi Sathyaraj, Remya Nambeesan, Varalaxmi Sarathkumar",Crime thriller,Naathambal Film Factory,6.5,123,2017,"An IT employee, who works in Australia, gets a call from his ex-lover, asking him to help her find her missing daughter."
Sol,Vijaya Bavannan,"Vijaya Bavannan, Anjana Raj",Drama,Semmozhi Kalaikkudil,3.5,157,2017,"Teens (Jake White, Jake Brown, Caleb Courtney) from rival academies compete in a tournament to find Earth's sun in the night sky of an alien world."
Maayavan,C. V. Kumar,"Sundeep Kishan, Lavanya Tripathi, Daniel Balaji, Jackie Shroff",Action drama,Thirukumaran Entertainment,7.5,367,2017,"A series of murders are happening in the city, and a cop realises that they are all eerily similar. Can he find out the link and capture the murderer before it is too late?"
Aruvi,Arun Prabu Purushothaman,"Aditi Balan, Lakshmi Gopalswami, Shwetha Shekar",Social drama,Dream Warrior Pictures,9,1351,2017,"Aruvi is a gentle girl belonging to a middle-class family, faces the trials of a troubled society and shares her story with a director who tries to use her to increase his show's ratings."
Brahma.com,P. S. Vijayakumar,"Nakul, Ashna Zaveri, Neetu Chandra",Comedy,Ganesh Dream Factory,6.2,25,2017,"Brahma.com is a 2017 Tamil-language fantasy film directed by Vijaykumar, starring Nakul and Ashna Zaveri in the leading roles."
Chennai 2 Singapore,Abbas Akbar,"Gokul Anand, Rajesh Balachandiran, Anju Kurian",Romantic comedy,Media Development Authority,7.1,156,2017,"Chennai 2 Singapore is said to be a crazyology. And it stays true to its tag. A completely whacky and mindless film, the film’s sole purpose is to make the audience laugh and not to think."
Kida Virundhu,Thamizh Selvan,"Prakash, Shalini, G. M. Kumar, Ganja Karuppu",Drama,KPN Films,4.9,123,2017,"Kida Virunthu is a Tamil movie released on 15 Dec, 2017. The movie is directed by Tamilselvan and featured Ganja Karuppu as lead characters"
Palli Paruvathile,Vasudev Bhaskar,"Nandanram Narayanan, Venba, R. K. Suresh, Urvashi",Drama,Connect Film Media,6.5,157,2017,"A school student loves his classmate, who also harbours feelings for him. But when her rich, powerful family questions her, she lies that she isn’t love with him, and this plays havoc on the boy’s family."
Sakka Podu Podu Raja,Sethuraman,"Santhanam, Vaibhavi Shandilya, Vivek",Comedy,VTV Productions,4.4,45,2017,"Santa earns the enmity of Bhavani, a gangster, when he helps his friend elope with Bhavani's sister. Santa falls in love with a girl, who turns out to be Bhavani's younger sister."
Velaikkaran,Mohan Raja,"Sivakarthikeyan, Nayanthara, Fahadh Faasil, Sneha",Thriller,24AM Studios,7.5,992,2017,"An enterprising youngster in a slum wants his people to lead a life of dignity, but has to take on an ambitious capitalist, who only wants to dominate his field."
Imai,Vijay K Mohan,"Sarish, Akshya Priya",Action drama,J & B Family Productions,5.7,299,2017,"Mollywood director, Vijay K Mohan's maiden Tamil venture, Imai is based on the love story of a ruffian and an intelligent girl. The movie is inspired by a real story, which was narrated to the director by a co-passenger during one of his train journeys."
Balloon,Sinish,"Jai, Anjali, Janani Iyer",Horror,70mm Entertainment & Farmer's Master Plan Productions,4.7,180,2017,"A filmmaker goes to check out a haunted house in Ooty to seek inspiration for a horror film, not realising that the place has a connection with his past."
Kalavaadiya Pozhuthugal,Thangar Bachan,"Prabhu Deva, Bhumika Chawla, Prakash Raj",Drama,Ayngaran International,5,731,2017,The unexpected meeting of two ex-lovers after a long time affect the equation of their respective families
Sangu Chakkaram,Maarison,"Dhilip Subbarayan, Geetha, Raja, Pradeep",Horror comedy,Cinemawala Pictures & Leo Visions,5.6,56,2017,"A great time has passed since Tamil Cinema's much adored 'My Dear Kuttichathan' made the younger generation of its time giggle and entertained. Though numerous films have been made for and on children, there was a sense of dearth and lacking, (and yearning) for an outright entertainer that would relate to the kids."
Ulkuthu,Caarthick Raju,"Dinesh, Nandita Swetha, Dhilip Subbarayan, Bala Saravanan",Action,PK Film Factory,6.8,77,2017,"Ulkuthu is a 2017 Tamil action comedy drama film directed by Caarthick Raju and produced by J. Selva Kumar, featuring Dinesh and Nandita Swetha in the leading roles."
Pachaikili Parimala,Madhubalan,"Damodaran, Sakthishree",Erotic,Sethu Medias,7.8,68,2017,"Hero Dhamodaran is a married man who spends his time having fun with his three friends. Unfortunately his wife ends up having an affair with another person and elopes with him. Our hero succumbs to alcoholism and in due course meets heroine Sakthi Sree who's a prostitute. After being ditched by her husband, Sakthi Sree had no other choice but opt for this profession. Knowing the pain of such betrayal, she takes Dhamodaran under her wing. Thanks to her care and affection, our hero kicks the alcohol habit aside. "
